2018-01-04 15:36:39,491 [Worker-85] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation\src\test\resources
2018-01-04 15:37:56,581 [Worker-81] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/applitools/eyes-sdk-core-java3/3.29/eyes-sdk-core-java3-3.29-sources.jar
2018-01-04 15:37:57,721 [Worker-81] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/applitools/eyes-sdk-core-java3/3.29/eyes-sdk-core-java3-3.29-sources.jar
2018-01-04 15:37:58,005 [Worker-81] INFO  o.e.m.j.internal.DownloadSourcesJob - Downloaded sources for com.applitools:eyes-sdk-core-java3:3.29
2018-01-04 15:37:58,338 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 15:37:58,344 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-01-04 15:37:58,345 [Worker-81] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 15:37:58,351 [Worker-81] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation\src\test\resources
2018-01-04 15:42:49,569 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 15:42:49,575 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 6 resources
2018-01-04 15:42:49,576 [Worker-90] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-01-04 15:42:49,581 [Worker-90] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\Project Works\YouVisit\YouVisitFramework\automatedtests\java_automation\src\test\resources
